 D12    1.000   BH2015      0      0      0   502280.41   496761.09   498871.59             Thu Jun 15 22:18:26 2017
 D16    1.000   BH2015      0      0      0   493200.69   500769.56   497539.66             Thu Jun 15 22:20:56 2017
 D22    1.000   BH2015      0      0      0   497970.09   500709.97   504585.22             Thu Jun 15 22:30:08 2017
 D24    1.000   BH2015      0      0      0   493160.34   498911.41   487737.16             Thu Jun 15 22:32:23 2017
 D29    1.000   BH2015      0      0      0   492884.97   497159.62   498542.81             Thu Jun 15 22:34:01 2017
  D3   -0.000   BH2015      0      0      0   510585.00   495530.00   496643.69             Thu Jun 15 22:37:23 2017
  D4   -0.000   BH2015      0      0      0   502034.97   493396.59   502808.75             Thu Jun 15 22:38:38 2017
  D5   -0.000   BH2015    156      1    156   507831.16   501502.66   503233.50             Thu Jun 15 22:39:37 2017
  D6   -0.000   BH2015      0      0      0   505937.00   496042.84   500840.94             Thu Jun 15 22:40:31 2017
  D7   -0.000   BH2015      0      0      0   504154.69   502612.56   495370.31             Thu Jun 15 22:41:52 2017
  D7   -0.000   BH2015      0      0      0   504154.69   502612.56   495370.31             Thu Jun 15 22:43:24 2017
  D9   -0.000   BH2015      0      0      0   499410.31   493124.19   492386.56             Thu Jun 15 22:44:47 2017
 D12   -0.000   BH2015      0      0      0   501667.75   498772.25   495719.31             Thu Jun 15 22:46:05 2017
 D16   -0.000   BH2015      0      0      0   495335.28   502074.75   492348.19             Thu Jun 15 22:47:38 2017
 D22   -0.000   BH2015      0      0      0   496125.19   498171.50   502253.75             Thu Jun 15 22:49:11 2017
 D24   -0.000   BH2015      0      0      0   490952.47   500014.59   480388.59             Thu Jun 15 22:50:41 2017
 D29   -0.000   BH2015      0      0      0   494653.84   499742.19   501447.72             Thu Jun 15 22:52:09 2017
  D3    2.007   BH2015      0      0      0   500761.41   494688.88   495889.59             Fri Jun 23 14:50:12 2017
  D4    2.001   BH2015     23      1     23   491145.84   495437.75   501747.06             Fri Jun 23 14:52:02 2017
  D5    2.001   BH2015      0      0      0   504963.62   501343.38   497023.06             Fri Jun 23 14:58:34 2017
  D6    2.001   BH2015      0      0      0   505692.88   501603.81   500067.09             Fri Jun 23 14:59:59 2017
  D7    2.007   BH2015      0      0      0   509024.34   503618.75   501022.94             Fri Jun 23 15:02:23 2017
  D9    2.001   BH2015      0      0      0   502075.94   499055.84   498181.47             Fri Jun 23 15:08:34 2017
 D12    2.007   BH2015      0      0      0   502443.25   494330.09   499643.12             Fri Jun 23 15:10:53 2017
 D16    2.007   BH2015      0      0      0   492586.25   506036.22   480933.25             Fri Jun 23 15:13:44 2017
 D22    2.007   BH2015      0      0      0   498271.88   502832.22   506261.12             Fri Jun 23 15:16:56 2017
 D24    2.007   BH2015      0      0      0   494003.88   498189.97   492440.47             Fri Jun 23 15:19:59 2017
 D29    2.007   BH2015      0      0      0   492040.97   513237.72   497995.62             Fri Jun 23 15:21:46 2017
  D3    1.000   BH2015      0      0      0   503756.66   495529.12   497123.78             Fri Jun 23 22:46:49 2017
  D4    1.000   BH2015      0      0      0   500165.69   495726.41   502033.09             Fri Jun 23 22:51:36 2017
  D5    1.000   BH2015      0      0      0   506045.28   501736.41   499095.69             Fri Jun 23 22:53:00 2017
  D6    1.000   BH2015      0      0      0   505846.88   499455.50   499904.84             Fri Jun 23 22:54:17 2017
  D7    1.000   BH2015    231      1    231   507121.16   503178.16   499200.81             Fri Jun 23 22:59:03 2017
  D9    1.000   BH2015      0      0      0   501222.69   497241.34   496277.75             Fri Jun 23 23:07:25 2017
 D12    1.000   BH2015      0      0      0   502280.41   496761.09   498871.59             Fri Jun 23 23:08:44 2017
 D16    1.000   BH2015      0      0      0   493200.69   500769.56   497539.66             Fri Jun 23 23:11:31 2017
 D22    1.000   BH2015      0      0      0   497970.09   500709.97   504585.22             Fri Jun 23 23:16:17 2017
 D24    1.000   BH2015      0      0      0   493160.34   498911.41   487737.16             Fri Jun 23 23:20:01 2017
 D29    1.000   BH2015      0      0      0   492884.97   497159.62   498542.81             Sat Jun 24 00:14:00 2017
 D29    1.000   BH2015      0      0      0   492884.97   497159.62   498542.81             Sat Jun 24 00:18:01 2017
  D3   -0.000   BH2015      0      0      0   510585.00   495530.00   496643.69             Sat Jun 24 00:21:34 2017
  D4   -0.000   BH2015      0      0      0   502034.97   493396.59   502808.75             Sat Jun 24 00:22:46 2017
  D5   -0.000   BH2015    156      1    156   507831.16   501502.66   503233.50             Sat Jun 24 00:23:53 2017
  D6   -0.000   BH2015      0      0      0   505937.00   496042.84   500840.94             Sat Jun 24 00:24:55 2017
  D7   -0.000   BH2015      0      0      0   504154.69   502612.56   495370.31             Sat Jun 24 00:26:24 2017
  D9   -0.000   BH2015      0      0      0   499410.31   493124.19   492386.56             Sat Jun 24 00:28:03 2017
 D12   -0.000   BH2015      0      0      0   501667.75   498772.25   495719.31             Sat Jun 24 00:31:30 2017
 D16   -0.000   BH2015      0      0      0   495335.28   502074.75   492348.19             Sat Jun 24 00:33:18 2017
 D22   -0.000   BH2015      0      0      0   496125.19   498171.50   502253.75             Sat Jun 24 00:35:18 2017
 D24   -0.000   BH2015      0      0      0   490952.47   500014.59   480388.59             Sat Jun 24 00:36:59 2017
 D29   -0.000   BH2015      0      0      0   494653.84   499742.19   501447.72             Sat Jun 24 00:38:26 2017
 D29   -0.000   BH2015      0      0      0   494653.84   499742.19   501447.72             Sat Jun 24 01:03:45 2017
  D3   -0.000   BH2015      0      0      0   510585.00   495530.00   496643.69             Sat Jun 24 15:49:10 2017
  D4   -0.000   BH2015      0      0      0   502034.97   493396.59   502808.75             Sat Jun 24 15:52:34 2017
  D5   -0.000   BH2015    156      1    156   507831.16   501502.66   503233.50             Sat Jun 24 15:53:33 2017
  D6   -0.000   BH2015      0      0      0   505937.00   496042.84   500840.94             Sat Jun 24 16:04:56 2017
  D7   -0.000   BH2015      0      0      0   504154.69   502612.56   495370.31             Sat Jun 24 16:06:31 2017
  D9   -0.000   BH2015      0      0      0   499410.31   493124.19   492386.56             Sat Jun 24 16:08:35 2017
 D12   -0.000   BH2015      0      0      0   501667.75   498772.25   495719.31             Sat Jun 24 16:09:26 2017
 D16   -0.000   BH2015      0      0      0   495335.28   502074.75   492348.19             Sat Jun 24 16:11:13 2017
 D22   -0.000   BH2015      0      0      0   496125.19   498171.50   502253.75             Sat Jun 24 16:14:43 2017
 D24   -0.000   BH2015      0      0      0   490952.47   500014.59   480388.59             Sat Jun 24 16:16:29 2017
 D29   -0.000   BH2015      0      0      0   494653.84   499742.19   501447.72             Sat Jun 24 16:18:17 2017
  D3    1.000   BH2015      0      0      0   503756.66   495529.12   497123.78             Sat Jun 24 16:22:25 2017
  D4    1.000   BH2015      0      0      0   500165.69   495726.41   502033.09             Sat Jun 24 16:35:39 2017
  D5    1.000   BH2015      0      0      0   506045.28   501736.41   499095.69             Sat Jun 24 16:37:47 2017
  D6    1.000   BH2015      0      0      0   505846.88   499455.50   499904.84             Sat Jun 24 16:38:59 2017
  D7    1.000   BH2015    231      1    231   507121.16   503178.16   499200.81             Sat Jun 24 16:43:24 2017
  D9    1.000   BH2015      0      0      0   501222.69   497241.34   496277.75             Sat Jun 24 16:45:19 2017
 D12    1.000   BH2015      0      0      0   502280.41   496761.09   498871.59             Sat Jun 24 16:46:33 2017
 D16    1.000   BH2015      0      0      0   493200.69   500769.56   497539.66             Sat Jun 24 16:49:38 2017
 D22    1.000   BH2015      0      0      0   497970.09   500709.97   504585.22             Sat Jun 24 16:51:48 2017
 D24    1.000   BH2015      0      0      0   493160.34   498911.41   487737.16             Sat Jun 24 16:53:28 2017
 D29    1.000   BH2015      0      0      0   492884.97   497159.62   498542.81             Sat Jun 24 16:55:04 2017
  D3    2.007   BH2015      0      0      0   500761.41   494688.88   495889.59             Sat Jun 24 16:58:54 2017
  D4    2.001   BH2015     23      1     23   491145.84   495437.75   501747.06             Sat Jun 24 17:00:19 2017
  D5    2.001   BH2015      0      0      0   504963.62   501343.38   497023.06             Sat Jun 24 17:01:55 2017
